k b f g
180 32 85 25 
181 43 31 11 
182 23 95 10 
183 45 44 7 
184 23 68 41 
185 75 27 23 
186 58 71 7 
187 10 29 18 
188 36 36 4 
189 31 25 16 
190 58 5 14 
191 7 63 8 
192 51 67 30 
193 49 15 35 
194 78 19 34 
195 27 30 5 
196 58 74 22 
197 34 1 16 
198 61 8 17 
199 100 83 28 
200 67 19 23 
201 19 60 14 
202 36 73 22 
203 2 43 30 
204 16 82 24 
205 28 36 30 
206 16 76 9 
207 58 88 17 
208 66 31 36 
209 82 43 24 
210 20 85 13 
211 53 85 13 
212 57 56 19 
213 51 15 28 
214 55 93 17 
215 42 34 19 
216 28 45 20 
217 25 89 16 
218 64 63 17 
219 47 71 41 
220 88 68 20 
221 72 5 1 
222 9 65 13 
223 15 82 18 
224 67 60 14 
225 70 33 44 
226 100 65 31 
227 85 31 3 
228 59 68 32 
229 19 93 13 
230 32 66 28 
231 70 77 21 
232 61 16 42 
233 89 92 11 
234 57 24 16 
235 2 58 20 
236 18 5 27 
237 49 88 3 
238 44 14 29 
239 4 100 16 
240 29 34 29 
241 36 35 14 
242 79 52 14 
243 82 91 2 
244 13 47 13 
245 20 63 11 
246 1 10 12 
247 84 68 22 
248 87 5 16 
249 74 74 12 
250 62 28 20 
251 51 11 23 
252 94 56 3 
253 63 77 9 
254 7 57 23 
255 35 79 38 
256 70 79 22 
257 35 32 25 
258 90 70 12 
259 39 37 32 
260 59 74 40 
261 71 82 18 
262 50 70 2 
263 47 92 7 
264 41 3 16 
265 91 34 13 
266 20 84 15 
267 83 13 32 
268 45 30 1 
269 74 82 20 
270 46 43 4 
271 55 48 15 
272 2 16 14 
273 69 21 16 
274 46 25 25 
275 42 80 20 
276 87 79 5 
277 26 56 9 
278 22 67 25 
279 91 47 11 
280 20 67 23 
281 28 92 8 
282 46 41 23 
283 77 24 12 
284 73 22 28 
285 64 77 4 
286 31 52 20 
287 82 16 5 
288 74 97 9 
289 31 54 3 
290 92 24 10 
291 67 22 17 
292 62 5 37 
293 87 55 9 
294 73 16 19 
295 89 100 3 
296 69 83 18 
297 94 67 24 
298 89 19 19 
299 73 10 18 
300 65 26 9 
301 58 37 23 
302 98 19 26 
303 79 32 12 
304 34 56 5 
305 31 18 31 
306 81 10 2 
307 9 1 34 
308 52 20 9 
309 72 43 12 
310 39 51 18 
311 82 71 26 
312 70 71 21 
313 51 4 20 
314 37 64 17 
315 67 92 13 
316 13 4 4 
317 82 35 18 
318 58 52 20 
319 84 86 7 
320 5 68 18 
321 92 54 19 
322 81 33 23 
323 56 59 21 
324 83 27 35 
325 78 80 1 
326 11 33 23 
327 63 29 9 
328 58 14 9 
329 53 40 16 
330 57 55 7 
331 38 31 34 
332 4 94 20 
333 19 12 18 
334 60 38 31 
335 94 88 4 
336 33 7 18 
337 81 27 1 
338 82 42 14 
339 29 96 24 
340 68 76 10 
341 93 28 22 
342 100 58 39 
343 83 62 29 
344 35 18 25 
345 87 29 40 
346 56 20 10 
347 56 57 23 
348 50 34 18 
349 56 45 37 
350 73 53 21 
351 17 2 7 
352 28 89 31 
353 37 8 11 
354 57 63 5 
355 26 78 39 
356 74 12 24 
357 91 5 18 
358 90 13 3 
359 96 95 16 
360 69 93 34 
361 10 39 1 
362 52 61 18 
363 25 69 7 
364 15 12 22 
365 22 61 18 
366 11 18 10 
367 29 46 10 
368 19 0 15 
369 31 26 33 
370 28 30 2 
371 73 50 28 
372 51 51 25 
373 57 45 9 
374 85 90 27 
375 16 44 2 
376 63 83 32 
377 89 55 16 
378 37 2 12 
379 43 57 11 
380 9 9 7 
381 91 42 13 
382 39 41 11 
383 77 10 16 
384 54 34 35 
385 68 30 24 
386 20 77 8 
387 85 88 20 
388 68 85 12 
389 94 94 19 
390 71 2 18 
391 3 27 9 
392 2 1 34 
393 44 6 38 
394 37 86 3 
395 26 59 29 
396 51 33 36 
397 83 46 36 
398 81 22 5 
399 76 67 4 
400 14 96 6 
401 42 74 13 
402 27 84 32 
403 69 38 16 
404 89 2 29 
405 4 62 21 
406 79 36 31 
407 27 10 6 
408 68 90 35 
409 61 54 21 
410 4 21 7 
411 47 72 29 
412 94 6 39 
413 87 89 25 
414 89 54 16 
415 21 14 5 
416 86 32 22 
417 26 69 27 
418 7 44 1 
419 88 80 24 
420 57 33 35 
421 13 92 23 
422 49 93 13 
423 37 9 32 
424 51 16 7 
425 22 56 23 
426 59 83 12 
427 48 2 17 
428 36 30 35 
429 31 47 13 
430 13 56 3 
431 0 74 16 
432 21 77 20 
433 100 86 17 
434 55 7 26 
435 68 51 10 
436 27 90 13 
437 74 96 20 
438 51 34 2 
439 72 2 8 
440 44 73 21 
441 92 77 12 
442 1 41 5 
443 90 22 5 
444 77 3 15 
445 3 72 28 
446 42 49 26 
447 40 51 39 
448 57 27 34 
449 36 44 37 
450 79 10 18 
451 91 93 17 
452 98 70 33 
453 45 48 38 
454 13 91 26 
455 67 59 7 
456 46 82 5 
457 21 35 2 
458 37 66 21 
459 95 93 16 
460 2 27 4 
461 26 87 22 
462 77 66 7 
463 13 7 28 
464 7 53 1 
465 49 21 4 
466 85 18 18 
467 30 78 7 
468 92 44 16 
469 63 33 1 
470 11 94 5 
471 65 69 21 
472 89 83 7 
473 21 88 24 
474 34 99 10 
475 3 77 15 
476 44 56 20 
477 67 31 26 
478 50 22 26 
479 50 19 35 
480 27 65 19 
481 62 23 29 
482 43 48 4 
483 8 54 13 
484 55 27 11 
485 23 85 23 
486 29 20 20 
487 7 7 17 
488 75 33 3 
489 6 91 17 
490 32 26 20 
491 84 27 30 
492 47 89 18 
493 28 3 2 
494 47 21 32 
495 80 81 27 
496 94 42 20 
497 51 97 2 
498 26 60 15 
499 51 23 17 
500 53 75 27 
